type,company,facility,unit,fuel,control_area,begin_ts,end_ts,limitation,reason,status,event_id,last_update
Unscheduled Limitation,VERBUND,Schlegeis,Schlegeis,,APG,2017-11-28T07:01:00,2017-12-04T02:40:05,66,Maintenance,Active,X192786#2506,2017-12-01T02:40:11
Unscheduled Limitation,VERBUND,Zillergründl,Zillergründl,,APG,2017-11-30T17:05:00,2017-12-04T02:40:05,180,Outage,Active,X192918#2514,2017-12-01T02:40:11
Unscheduled Limitation,VERBUND,Zillergründl,Zillergründl,,APG,2017-11-30T17:05:00,2017-11-30T21:05:00,180,Maintenance,Inactive,X192919#2514,2017-11-30T21:10:11
Unscheduled Limitation,VERBUND,HORAMU,HORAMU,,APG,2017-11-28T08:04:00,2017-12-03T17:00:00,215,Maintenance,Inactive,X192789#2482,2017-11-30T17:10:09
Planned Limitation,VERBUND,HORAMU,HORAMU,,APG,2017-11-28T08:00:00,2017-11-30T16:00:00,215,Maintenance,Inactive,X192608#2482,2017-11-30T16:00:04
Unscheduled Limitation,VERBUND,Moserboden,Moserboden,,APG,2017-11-30T10:19:21,2017-11-30T14:19:21,65,Maintenance,Inactive,X192901#2492,2017-11-30T14:20:12
Planned Limitation,EnBW,Vorarlberger Illwerke AG,Lünersee,,TransnetBW,2017-12-05T08:00:00,2017-12-05T08:30:00,43,Maintenance,Active,22244996#2404,2017-11-30T12:57:17
Planned Limitation,EnBW,Vorarlberger Illwerke AG,Lünersee,,TransnetBW,2017-12-05T08:00:00,2017-12-05T08:30:00,43,Maintenance,Active,22244995#2404,2017-11-30T12:57:15
Planned Limitation,EnBW,Vorarlberger Illwerke AG,Lünersee,,TransnetBW,2017-12-05T08:00:00,2017-12-05T08:30:00,46,Maintenance,Active,22244994#2404,2017-11-30T12:57:14
Planned Limitation,EnBW,Vorarlberger Illwerke AG,Lünersee,,TransnetBW,2017-12-05T08:00:00,2017-12-05T08:30:00,46,Maintenance,Active,22244993#2404,2017-11-30T12:57:13
Planned Limitation,EnBW,Vorarlberger Illwerke AG,Lünersee,,TransnetBW,2017-12-05T08:00:00,2017-12-05T08:30:00,46,Maintenance,Active,22244992#2404,2017-11-30T12:57:11
Unscheduled Limitation,VERBUND,Moserboden,Moserboden,,APG,2017-11-30T10:19:21,2017-12-03T11:30:00,65,Outage,Inactive,X192900#2492,2017-11-30T11:40:07
Unscheduled Limitation,EnBW,Vorarlberger Illwerke AG,Staubecken Latschau,,TransnetBW,2017-11-29T23:15:00,2017-11-30T00:30:00,41,Outage,Active,22244984#2405,2017-11-30T00:37:12
Unscheduled,RWE,Inesco,Inesco 1,Gas,Elia,2017-11-23T09:44:00,2017-12-20T00:00:00,16,Other,Active,2017385150#2220,2017-11-30T12:39:13
Unscheduled,RWE,Inesco,Inesco 1,Gas,Elia,2017-11-29T03:45:00,2017-11-29T12:00:00,49,Outage,Active,2017385713#2220,2017-11-30T12:38:18
Unscheduled,Axpo,KLL - KW Linth-Limmern AG,Tierfehd - Limmern G3,Pumped Storage,SwissGrid,2017-11-30T02:38:00,2017-11-30T10:00:00,87,Outage,Active,#4948#2998,2017-11-30T09:48:59
Unscheduled,Axpo,KLL - KW Linth-Limmern AG,Limmern - Muttsee G3,Pumped Storage,SwissGrid,2017-11-30T01:55:00,2017-11-30T05:55:00,250,Outage,Active,#4945#2994,2017-11-30T01:56:18
Unscheduled,RWE,Neurath,Neurath E,Lignite,Amprion,2017-12-01T02:45:00,2017-12-01T04:00:00,50,Outage,Active,2017385951#919,2017-12-01T02:45:57
Unscheduled,RWE,Neurath,Neurath B,Lignite,Amprion,2017-12-01T02:45:00,2017-12-01T05:00:00,15,Outage,Active,2017385950#931,2017-12-01T02:45:05
Unscheduled,RWE,Neurath,Neurath C,Lignite,Amprion,2017-12-01T02:30:00,2017-12-01T05:00:00,20,Other,Active,2017385949#959,2017-12-01T02:37:44
Unscheduled,RWE,Neurath,Neurath D,Lignite,Amprion,2017-12-01T02:37:00,2017-12-01T04:00:00,100,Outage,Active,2017385948#897,2017-12-01T02:37:38
Planned,RWE,Neurath,Neurath D,Lignite,Amprion,2017-12-01T01:05:00,2017-12-01T02:37:00,35,Outage,Active,2017385946#897,2017-12-01T02:36:04
Unscheduled,Steag,KW Herne,Herne Block 4,Hard Coal,Amprion,2017-12-01T02:15:00,2017-12-02T00:00:00,30,Outage,Active,201704418#1254,2017-12-01T02:23:00
Planned,LEAG,KW Jänschwalde,KW Jänschwalde Block B,Lignite,50Hertz,2017-12-01T00:30:00,2017-12-01T02:45:00,137,Maintenance,Active,1034874#3199,2017-12-01T01:34:15
Planned,LEAG,KW Jänschwalde,KW Jänschwalde Block B,Lignite,50Hertz,2017-12-01T02:45:00,2017-12-01T08:00:00,144,Maintenance,Active,1034875#3199,2017-12-01T01:34:11
Planned,RWE,Neurath,Neurath D,Lignite,Amprion,2017-11-30T22:50:00,2017-12-01T01:05:00,15,Outage,Active,2017385942#897,2017-12-01T01:05:49
Planned,RWE,Weisweiler,Weisweiler H,Lignite,Amprion,2017-11-30T01:00:00,2017-12-01T00:00:00,12,Outage,Active,385758#923,2017-12-01T00:09:04
Planned,RWE,Weisweiler,Weisweiler G,Lignite,Amprion,2017-11-30T00:00:00,2017-12-01T00:00:00,19,Outage,Active,385754#922,2017-12-01T00:08:34
Planned,RWE,GuD Dormagen,GuD Dormagen,Gas,Amprion,2017-11-30T23:57:00,2017-12-01T09:00:00,20,Other,Active,2017385940#902,2017-11-30T23:58:47
Unscheduled,RWE,GuD Dormagen,GuD Dormagen,Gas,Amprion,2017-11-30T20:40:00,2017-11-30T23:57:00,20,Other,Active,2017385925#902,2017-11-30T23:58:28
Planned,RWE,Niederaußem,Niederaußem C,Lignite,Amprion,2017-12-01T00:00:00,2018-01-01T00:00:00,12,Other,Inactive,2017364365#907,2017-11-30T23:54:39
Planned,RWE,Weisweiler,Weisweiler G,Lignite,Amprion,2017-11-30T21:00:00,2017-11-30T23:40:00,60,External Factors,Active,2017385798#922,2017-11-30T23:43:21
Planned,RWE,Niederaußem,Niederaußem C,Lignite,Amprion,2017-11-30T23:37:00,2017-12-02T05:00:00,15,Other,Active,2017385943#907,2017-11-30T23:25:09
Planned,RWE,Niederaußem,Niederaußem C,Lignite,Amprion,2017-11-27T16:11:00,2017-11-30T21:50:00,11,Other,Active,2017385568#907,2017-11-30T21:37:26
Planned,LEAG,KW Boxberg,KW Boxberg Block R,Lignite,50Hertz,2017-12-01T00:30:00,2017-12-01T06:00:00,103,Maintenance,Active,1034873#3196,2017-11-30T21:23:15
Unscheduled,RWE,Emsland,Emsland D,Gas,Amprion,2017-11-30T21:00:00,2017-12-01T07:00:00,20,External Factors,Active,2017385935#938,2017-11-30T21:23:11
Planned,LEAG,KW Boxberg,KW Boxberg Block R,Lignite,50Hertz,2017-11-30T12:15:00,2017-11-30T21:00:00,103,Maintenance,Active,1034867#3196,2017-11-30T21:14:11
Planned,RWE,Weisweiler,Weisweiler H,Lignite,Amprion,2017-11-30T21:00:00,2017-11-30T22:00:00,60,External Factors,Active,2017385799#923,2017-11-30T21:06:25
Unscheduled,RWE,Emsland,Emsland D,Gas,Amprion,2017-11-30T08:00:00,2017-12-01T07:00:00,20,External Factors,Active,2017385860#938,2017-11-30T20:58:04
Planned,ENGIE DE,Kraftwerk Wilhelmshaven,DEWHV______1_____ ,Hard Coal,Tennet (DE),2017-11-30T09:30:00,2017-11-30T20:57:00,726,Other,Active,25c92e8660c1484#3099,2017-11-30T20:57:44
Planned,RWE,Neurath,Neurath C,Lignite,Amprion,2017-11-30T16:00:00,2017-11-30T20:15:00,20,Outage,Active,2017385903#959,2017-11-30T20:14:59
Unscheduled,RWE,Neurath,Neurath B,Lignite,Amprion,2017-11-30T16:20:00,2017-11-30T20:15:00,20,Outage,Active,2017385906#931,2017-11-30T20:14:45
Unscheduled,RWE,Neurath,Neurath A,Lignite,Amprion,2017-11-30T16:20:00,2017-11-30T20:15:00,20,Outage,Active,2017385907#910,2017-11-30T20:13:59
Unscheduled,EnBW,HKW Stuttgart-Münster,Stuttgart-Münster GT18,Oil,TransnetBW,2017-11-30T19:24:00,2017-12-04T00:00:00,15,Outage,Active,22245002#2423,2017-11-30T19:25:26
Planned,Vattenfall GmbH,PSW Goldisthal,PSW Goldisthal PSS A,Pumped Storage,50Hertz,2017-12-01T08:00:00,2017-12-01T22:00:00,265,Maintenance,Active,1032034#693,2017-11-30T18:26:54
Planned,Vattenfall GmbH,PSW Goldisthal,PSW Goldisthal PSS A,Pumped Storage,50Hertz,2017-11-30T09:00:00,2017-11-30T18:30:00,265,Maintenance,Active,1032009#693,2017-11-30T18:26:52
